url,error
http://ufcstats.com/fight-details/4146a71795a084f0,'NoneType' object is not iterable
http://ufcstats.com/fight-details/fd400f3417035734,'NoneType' object is not iterable
http://ufcstats.com/fight-details/eab2d9acc1b1cdc4,cannot access local variable 'winner' where it is not associated with a value
http://ufcstats.com/fight-details/04eb7c9749f08f5b,'NoneType' object is not iterable
http://ufcstats.com/fight-details/9c84a8b814ed5a67,'NoneType' object is not iterable
http://ufcstats.com/fight-details/fc89b69a4fe79603,'NoneType' object is not iterable
http://ufcstats.com/fight-details/5732b6966c2232c4,'NoneType' object is not iterable
http://ufcstats.com/fight-details/df841d5b1365e039,'NoneType' object is not iterable
http://ufcstats.com/fight-details/dca56219c8655de8,'NoneType' object is not iterable
http://ufcstats.com/fight-details/59cd7bf7fe3f1c71,'NoneType' object is not iterable
http://ufcstats.com/fight-details/900890ef697e451a,'NoneType' object is not iterable
http://ufcstats.com/fight-details/bc0190e0e7f80d82,'NoneType' object is not iterable
http://ufcstats.com/fight-details/4fac31dde3f19b17,'NoneType' object is not iterable
http://ufcstats.com/fight-details/e08cd659a05f179c,'NoneType' object is not iterable
http://ufcstats.com/fight-details/b91ba570d5a8654d,cannot access local variable 'winner' where it is not associated with a value
http://ufcstats.com/fight-details/12053410a45e4311,'NoneType' object is not iterable
http://ufcstats.com/fight-details/d3a95dc092a3b98e,'NoneType' object is not iterable
http://ufcstats.com/fight-details/d69249b26102b292,'NoneType' object is not iterable
http://ufcstats.com/fight-details/d029b7ec2d68d218,'NoneType' object is not iterable
http://ufcstats.com/fight-details/68cbd44208da19a5,cannot access local variable 'winner' where it is not associated with a value
http://ufcstats.com/fight-details/0313e2800683dd9d,'NoneType' object is not iterable
http://ufcstats.com/fight-details/de4300c6c9900cca,'NoneType' object is not iterable
http://ufcstats.com/fight-details/7d7e4e72d08fb331,'NoneType' object is not iterable
http://ufcstats.com/fight-details/7a24961d33cd8fab,'NoneType' object is not iterable
http://ufcstats.com/fight-details/ddd86adc0b32fadc,'NoneType' object is not iterable
http://ufcstats.com/fight-details/8375ef15cf838b76,'NoneType' object is not iterable
http://ufcstats.com/fight-details/30a4a652eb4dbaaa,'NoneType' object is not iterable
http://ufcstats.com/fight-details/56674d151cf9b158,'NoneType' object is not iterable
http://ufcstats.com/fight-details/1b5f32e4fd52225b,'NoneType' object is not iterable
http://ufcstats.com/fight-details/773c36a7891b8567,'NoneType' object is not iterable
http://ufcstats.com/fight-details/a6f342e32f68ded6,'NoneType' object is not iterable
http://ufcstats.com/fight-details/5dafd35781c3a857,'NoneType' object is not iterable
http://ufcstats.com/fight-details/8c10733c97e01dc3,'NoneType' object is not iterable
http://ufcstats.com/fight-details/0e97df01e0df1a7f,'NoneType' object is not iterable
http://ufcstats.com/fight-details/bea0ed817fee7c74,'NoneType' object is not iterable
http://ufcstats.com/fight-details/25545fe0c7044932,'NoneType' object is not iterable
http://ufcstats.com/fight-details/9325bcf98fa2a15e,'NoneType' object is not iterable
http://ufcstats.com/fight-details/7d3927d916d95917,'NoneType' object is not iterable
http://ufcstats.com/fight-details/f26a29dd55c5a5cd,'NoneType' object is not iterable
http://ufcstats.com/fight-details/cc20ca955a263a58,'NoneType' object is not iterable
