fight_id,fighter,kd,sig_str_pct,td_pct,sub_att,rev,round,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,sig_str_landed,sig_str_attempted,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted,ctrl_secs
539a550c0c1acd3e,Joshua Burkman,0,50,50,0,0,3,8,16,18,28,3,6,8,16,3,10,2,2,3,4,0,6,4,5,4,5,271
539a550c0c1acd3e,Chad Reiner,0,20,33,2,0,0,6,30,41,68,1,3,,,,,,,,,,,,,,,87
539a550c0c1acd3e,Chad Reiner,0,18,,0,0,1,2,11,13,23,0,0,2,11,2,9,0,1,0,1,1,9,1,2,0,0,0
539a550c0c1acd3e,Chad Reiner,0,50,50,2,0,2,2,4,16,19,1,2,2,4,1,1,1,1,0,2,1,3,1,1,0,0,87
539a550c0c1acd3e,Chad Reiner,0,13,0,0,0,3,2,15,12,26,0,1,2,15,0,12,1,2,1,1,1,12,1,3,0,0,0
358468724d7d4322,Benito Lopez,0,40,,0,0,0,54,132,54,132,0,0,,,,,,,,,,,,,,,0
358468724d7d4322,Benito Lopez,0,43,,0,0,1,16,37,16,37,0,0,16,37,2,14,3,9,11,14,16,37,0,0,0,0,0
358468724d7d4322,Benito Lopez,0,36,,0,0,2,17,46,17,46,0,0,17,46,0,20,4,10,13,16,17,46,0,0,0,0,0
358468724d7d4322,Benito Lopez,0,42,,0,0,3,21,49,21,49,0,0,21,49,4,21,2,6,15,22,21,47,0,2,0,0,0
358468724d7d4322,Vince Morales,1,43,,0,0,0,64,147,67,150,0,0,,,,,,,,,,,,,,,29
358468724d7d4322,Vince Morales,1,42,,0,0,1,16,38,19,41,0,0,16,38,13,34,0,0,3,4,10,30,0,0,6,8,29
