fight_id,round_finished,round_total,round_time_sec,fighter_id,result,event,stoppage_time_sec,opponent_name,fighter_name,method_type,method_specific
b6d027c60f879e4a,3,3,300,159da492e000afbf,loss,UFC on FUEL TV: Nogueira vs. Werdum,300,Ildemar Alcantara,Leandro Silva,U-DEC,
00ee51bba08b7a08,3,3,300,98aa60cf58071fd6,win,UFC Fight Night: Tsarukyan vs. Hooker,138,Tagir Ulanbekov,Kyoji Horiguchi,SUB,Rear Naked Choke
00ee51bba08b7a08,3,3,300,f00ac08ab056af5d,loss,UFC Fight Night: Tsarukyan vs. Hooker,138,Kyoji Horiguchi,Tagir Ulanbekov,SUB,Rear Naked Choke
b5ec939fd1edf048,3,3,300,d0f3959b4a9747e6,loss,UFC 245: Usman vs. Covington,300,Marlon Moraes,Jose Aldo,S-DEC,
b5ec939fd1edf048,3,3,300,fea79f9bc8c68769,win,UFC 245: Usman vs. Covington,300,Jose Aldo,Marlon Moraes,S-DEC,
7f7d2abc21f171ca,1,3,300,d7fe8c6b7d2872e5,loss,UFC Fight Night: Yusuff vs. Barboza,20,Terrance McKinney,Brendon Marotte,KO/TKO,Knee
7f7d2abc21f171ca,1,3,300,809bd1a871491508,win,UFC Fight Night: Yusuff vs. Barboza,20,Brendon Marotte,Terrance McKinney,KO/TKO,Knee
066756ea40b134a7,2,3,300,2f5cbecbbe18bac4,loss,UFC 242: Khabib vs. Poirier,142,Curtis Blaydes,Shamil Abdurakhimov,KO/TKO,Elbow
066756ea40b134a7,2,3,300,fa6796c55d6c5440,win,UFC 242: Khabib vs. Poirier,142,Shamil Abdurakhimov,Curtis Blaydes,KO/TKO,Elbow
c4aa04781989699e,1,,,749685d24e2cac50,win,UFC 2: No Way Out,89,Orlando Wiet,Remco Pardoel,KO/TKO,Elbows
c4aa04781989699e,1,,,a6c2f5381d575920,loss,UFC 2: No Way Out,89,Remco Pardoel,Orlando Wiet,KO/TKO,Elbows
